OBJECTID,ID,LinkID,Width,Center_X,Center_Y,Start_X,Start_Y,End_X,End_Y,NEAR_FID,NEAR_DIST,NEAR_ANGLE
4443,61262,61262,21.6,587273.9289,4513544.953,587217.0227,4513438.754,587330.8351,4513651.151,2,1598.835272,96.79121073
4444,61263,61263,3.6,587147.7622,4513474.799,587217.0227,4513438.754,587078.5016,4513510.843,2,1729.082714,87.90303082
4445,61264,61264,10.8,587279.8894,4513225.498,587319.0018,4513294.627,587240.7769,4513156.37,2,1952.20287,95.20879458
4446,61265,61265,7.2,587386.4186,4513257.73,587319.0018,4513294.627,587453.8354,4513220.834,2,1952.20287,95.20879458
4447,61266,61266,3.6,587286.6088,4513400.273,587356.1949,4513361.791,587217.0227,4513438.754,2,1801.58614,92.39394905
4448,61267,61267,10.8,587337.5984,4513328.209,587356.1949,4513361.791,587319.0018,4513294.627,2,1889.185767,96.51717948
4449,61269,61269,10.8,587117.6372,4513585.134,587078.5016,4513510.843,587156.7728,4513659.425,2,1579.414455,90.54425144
4450,61270,61270,10.8,587234.3026,4513798.895,587156.7728,4513659.425,587311.8324,4513938.366,2,1311.475335,97.450664
4451,61271,61271,10.8,587000.6348,4513690.285,587058.3689,4513794.493,586942.9007,4513586.078,2,1446.681646,86.69506182
4452,61272,61272,7.2,586529.58,4514251.611,586727.4886,4514148.214,586418.1904,4514419.934,2,1089.10161,49.64478644
4453,61273,61273,10.8,587116.3882,4513902.868,587174.4074,4514011.243,587058.3689,4513794.493,2,1227.959099,91.52301005
4454,61274,61274,7.2,586965.0097,4514117.407,587174.4074,4514011.243,586727.4886,4514148.214,2,1133.046705,81.83275481
4455,61275,61275,14.4,587243.1199,4513974.804,587174.4074,4514011.243,587311.8324,4513938.366,2,1227.959099,91.52301005
4456,61276,61276,10.8,587331.0749,4513974.287,587311.8324,4513938.366,587350.3174,4514010.208,2,1246.13516,99.6340803
4457,61277,61277,14.4,587378.6164,4513900.962,587311.8324,4513938.366,587445.4003,4513863.558,2,1311.475335,97.450664
4458,61278,61278,10.8,587387.9739,4514084.205,587350.3174,4514010.208,587425.6304,4514158.203,2,1117.228101,104.7188064
4459,61279,61279,10.8,587234.2363,4514119.751,587294.0652,4514228.26,587174.4074,4514011.243,2,1021.92005,98.57061889
4460,61280,61280,18,587416.6274,4513151.338,587379.4193,4513081.842,587453.8354,4513220.834,2,2041.921924,98.79091594
4461,61281,61281,7.2,587473.4839,4513029.607,587379.4193,4513081.842,587567.5485,4512977.371,2,2169.978441,96.2874621
